name,popularity,releaseYear,length,artist
Babydoll,,2018,97960,Dominic Fike
End of Beginning,,2022,159245,Djo
Tití Me Preguntó,,2022,243716,Bad Bunny
Mr. Brightside,,2004,222973,The Killers
Clean Baby Sleep White Noise (Loopable),,2020,142222,Dream Supplier
I Thought I Saw Your Face Today,,2008,170333,She & Him
Broken Window Serenade,,2011,346333,Whiskey Myers
Sweater Weather,,2013,240400,The Neighbourhood
505,,2007,253586,Arctic Monkeys
weren't for the wind,,2024,193666,Ella Langley
Lush Life,,2017,200646,Zara Larsson
BIRDS OF A FEATHER,,2024,210373,Billie Eilish
No Pole,,2023,187613,Don Toliver
Headlines,,2011,235986,Drake
Addormentarsi,,2021,150836,Natural Sample Makers
No One Noticed,,2024,236906,The Marías
No Hands (feat. Roscoe Dash & Wale),,2010,263773,Waka Flocka Flame
Something in the Orange,,2022,228013,Zach Bryan
I Remember Everything (feat. Kacey Musgraves),,2023,227195,Zach Bryan
Brown Noise Therapy Loop For Sleeping (Loopable no fade),,2023,142221,Dream Supplier
Nights,,2016,307151,Frank Ocean
One Dance,,2016,173986,Drake
The Less I Know The Better,,2015,216320,Tame Impala
No Role Modelz,,2014,292799,J. Cole
Ordinary,,2024,186964,Alex Warren
Trap Queen,,2015,222093,Fetty Wap
Sparks,,2000,227093,Coldplay
That's What I Like,,2016,206693,Bruno Mars
"Good Luck, Babe!",,2024,218423,Chappell Roan
Feel Good Inc.,,2005,222640,Gorillaz
"All The Stars (with SZA) - From ""Black Panther: The Album""",,2018,232186,Kendrick Lamar
See You Again (feat. Kali Uchis),,2017,180386,"Tyler, The Creator"
Passionfruit,,2017,298940,Drake
Flashing Lights,,2007,237506,Kanye West
Les,,2011,317293,Childish Gambino
WILDFLOWER,,2024,261466,Billie Eilish
LA CANCIÓN,,2019,242573,J Balvin
Sienna,,2024,224840,The Marías
Stick Season,,2022,182346,Noah Kahan
Promiscuous,,2006,242293,Nelly Furtado
Pink Skies,,2024,194920,Zach Bryan
Bring Me To Life,,2003,235893,Evanescence
Locked out of Heaven,,2012,233478,Bruno Mars
Pink + White,,2016,184516,Frank Ocean
Heartless,,2008,211000,Kanye West
Not Like Us,,2024,274192,Kendrick Lamar
Love Me,,2013,255053,Lil Wayne
20 Min,,2017,220586,Lil Uzi Vert
Lovers Rock,,2014,213920,TV Girl
Can't Stop,,2002,269000,Red Hot Chili Peppers
Yellow,,2000,266773,Coldplay
That’s So True,,2024,166300,Gracie Abrams
Thinkin Bout You,,2012,200746,Frank Ocean
The Color Violet,,2021,226466,Tory Lanez
Qué Pasaría...,,2024,191018,Rauw Alejandro
White Ferrari,,2016,248807,Frank Ocean
Shut up My Moms Calling,,2020,164571,Hotel Ugly
Sure Thing,,2010,195373,Miguel
Love Me Not,,2024,213466,Ravyn Lenae
Dive,,2023,200759,Olivia Dean
As It Was,,2022,167303,Harry Styles
In the End,,2000,216880,Linkin Park
Love On The Brain,,2016,224000,Rihanna
Walking On A Dream,,2008,198440,Empire Of The Sun
The Hardest Part,,2023,176048,Olivia Dean
I Wanna Be Yours,,2013,183956,Arctic Monkeys
Snooze,,2022,201800,SZA
Apocalypse,,2017,290146,Cigarettes After Sex
Riptide,,2014,204280,Vance Joy
Lose Control,,2023,210688,Teddy Swims
From The Start,,2023,169573,Laufey
Just the Way You Are,,2010,220734,Bruno Mars
Viva La Vida,,2008,242373,Coldplay
SLOW DANCING IN THE DARK,,2018,209273,Joji
We Are The People,,2008,267373,Empire Of The Sun
Yeah! (feat. Lil Jon & Ludacris),,2004,250373,USHER
Borderline,,2020,237800,Tame Impala
luther (with sza),,2024,177598,Kendrick Lamar
Only Girl (In The World),,2010,235493,Rihanna
How You Remind Me,,2001,223840,Nickelback
Die With A Smile,,2024,251667,Lady Gaga
Kiss It Better,,2016,253080,Rihanna
Starboy,,2016,230453,The Weeknd
The Night We Met,,2015,208226,Lord Huron
Not You Too (feat. Chris Brown),,2020,269680,Drake
Took Her To The O,,2020,196179,King Von
"One Of The Girls (with JENNIE, Lily Rose Depp)",,2023,244684,The Weeknd
Numb,,2003,187520,Linkin Park
The Way I Are,,2007,179120,Timbaland
Beautiful Things,,2024,180304,Benson Boone
MONACO,,2023,267194,Bad Bunny
Sex on Fire,,2008,203346,Kings of Leon
Ok Love You Bye,,2019,154386,Olivia Dean
Maneater,,2006,258893,Nelly Furtado
Lost,,2012,234093,Frank Ocean
back to friends,,2024,199032,sombr
Cigarettes out the Window,,2016,198960,TV Girl
Like That,,2024,267706,Future
S&M,,2010,243600,Rihanna
Time of Our Lives,,2014,229358,Pitbull
